City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,14.34,84,Clouds,5.81,NZ,1698769712
1,licheng,23.2955,113.8284,26.69,53,Clouds,2.48,CN,1698704938
2,albany,42.6001,-73.9662,5.85,82,Clouds,3.74,US,1698665201
3,camarinas,43.1311,-9.1817,12.88,80,Clouds,7.48,ES,1698736172
4,shevchenko,48.5,35.0,12.28,73,Clouds,4.31,UA,1698726211
5,sinan,34.8262,126.1086,17.71,60,Clear,2.79,KR,1698702871
6,edinburgh of the seven seas,-37.0676,-12.3116,13.83,95,Rain,12.36,SH,1698731097
7,tolanaro,-25.0319,46.9987,22.5,92,Rain,2.91,MG,1698717905
8,manokwari,-0.8667,134.0833,27.62,77,Clouds,2.83,ID,1698698577
9,blackmans bay,-43.0167,147.3167,16.07,49,Clouds,1.34,AU,1698692172
10,cabo san lucas,22.8909,-109.9124,26.53,81,Clouds,3.6,MX,1698672196
11,port mathurin,-19.6833,63.4167,24.55,80,Rain,8.69,MU,1698714351
12,san patricio,28.017,-97.5169,8.43,72,Rain,6.04,US,1698669582
13,kapuskasing,49.4169,-82.4331,-5.73,85,Clouds,1.35,CA,1698668055
14,bilibino,68.0546,166.4372,-15.73,78,Clouds,1.25,RU,1698699444
15,east london,-33.0153,27.9116,13.09,87,Rain,4.29,ZA,1698721832
16,mary,37.0,62.5,16.74,51,Clouds,8.14,TM,1698718341
17,clewiston,26.7542,-80.9337,24.97,76,Clouds,4.95,US,1698665508
18,puerto armuelles,8.2833,-82.8667,27.27,75,Clouds,4.47,PA,1698664785
19,leiyang,26.4024,112.8591,24.88,59,Clouds,0.5,CN,1698705391
20,bredasdorp,-34.5322,20.0403,13.16,80,Clear,5.24,ZA,1698723582
21,general pico,-35.6566,-63.7568,10.75,28,Clouds,3.24,AR,1698743573
22,port-aux-francais,-49.35,70.2167,3.8,89,Clouds,17.02,TF,1698709798
23,banda aceh,5.5577,95.3222,28.47,71,Clouds,0.73,ID,1698708261
24,iqaluit,63.7506,-68.5145,-12.15,78,Clouds,7.72,CA,1698667663
25,olonkinbyen,70.9221,-8.7187,1.89,75,Clouds,5.07,SJ,1698743309
26,chibougamau,49.9168,-74.3659,-7.21,93,Clear,2.06,CA,1698666186
27,clearlake,38.9582,-122.6264,13.77,36,Clouds,0.67,US,1698676523
28,tiksi,71.6872,128.8694,-20.28,100,Clouds,1.02,RU,1698710737
29,gordonvale,-17.0936,145.7842,34.39,60,Clouds,3.63,AU,1698694765
30,hasaki,35.7333,140.8333,22.38,53,Clouds,2.55,JP,1698699414
31,avarua,-21.2078,-159.775,24.03,73,Clouds,6.17,CK,1698681424
32,la libertad,-2.2333,-80.9,23.0,83,Clouds,3.31,EC,1698663694
33,puerto natales,-51.7236,-72.4875,0.45,77,Clear,1.75,CL,1698743614
34,sao gabriel da cachoeira,-0.1303,-67.0892,25.67,77,Clouds,0.58,BR,1698660503
35,ribeira grande,38.5167,-28.7,19.87,84,Clouds,8.94,PT,1698740386
36,aripuana,-9.1667,-60.6333,23.81,82,Rain,1.19,BR,1698658416
